Company,Nbr employees, Revenues  , Revenues per employee , Valuation ,Ratio valuation/revenues
Uber,16000,11300000000,706250,120000000000,10.62x
Stripe,1500,450000000,300000,22500000000,50.00x
Snapchat,3069,1180000000,384490,7200000000,6.10x
Pinterest,800,1000000000,1250000,12000000000,12.00x
LinkedIn,13000,26200000000,2015385,26200000000,1.00x
Grab,3000,2750000000,916667,10000000000,3.64x
Google,98771,39120000000,396068,720000000000,18.40x
Facebook,35587,55800000000,1567988,491000000000,8.80x
Epic Games,700,3000000000,4285714,15000000000,5.00x
Coursora,280,140000000,500000,815000000,5.82x
Airbnb,3100,2600000000,838710,38000000000,14.62x
